Day of Week,Date,d1,d2,Event,Date Wikipedia,Event Wikipedia,Date UFC,Event UFC,Date Sherdog,Event Sherdog,Date Fightmetric,Event Fightmetric,Date MMAFighting,Event MMAFighting
Saturday,2016-02-27,False,False,UFC Fight Night: Silva vs. Bisping,2/27/2016,UFC Fight Night: Silva vs. Bisping,2/27/2016,UFC Fight Night - Silva vs. Bisping,2/27/2016,,2/27/2016,UFC Fight Night: Silva vs Bisping,2/27/2016,UFC Fight Night 84
Sunday,2016-02-21,False,False,UFC Fight Night: Cowboy vs. Cowboy,2/21/2016,UFC Fight Night: Cowboy vs. Cowboy,2/21/2016,UFC Fight Night - Cowboy vs. Cowboy,2/21/2016,UFC Fight Night 83 - Cerrone vs. Oliveira,2/21/2016,UFC Fight Night: Cowboy vs Cowboy,2/21/2016,UFC Fight Night 83
Saturday,2016-02-06,False,False,UFC Fight Night: Hendricks vs. Thompson,2/6/2016,UFC Fight Night: Hendricks vs. Thompson,2/6/2016,UFC Fight Night - Hendricks vs. Thompson,2/6/2016,,2/6/2016,UFC Fight Night: Hendricks vs Thompson,2/6/2016,UFC Fight Night 82
Saturday,2016-01-30,False,False,UFC on Fox: Johnson vs. Bader,1/30/2016,UFC on Fox: Johnson vs. Bader,1/30/2016,UFC Fight Night - Johnson vs. Bader,1/30/2016,UFC on Fox 18 - Johnson vs. Bader,1/30/2016,UFC Fight Night: Johnson vs. Bader,1/30/2016,UFC on FOX 18
Sunday,2016-01-17,False,False,UFC Fight Night: Dillashaw vs. Cruz,1/17/2016,UFC Fight Night: Dillashaw vs. Cruz,1/17/2016,UFC Fight Night - Dillashaw vs. Cruz,1/17/2016,,1/17/2016,UFC Fight Night: Dillashaw vs Cruz,1/17/2016,UFC Fight Night 81
Saturday,2016-01-02,False,False,UFC 195: Lawler vs. Condit,1/2/2016,UFC 195: Lawler vs. Condit,1/2/2016,UFC 195 - Lawler vs Condit,1/2/2016,UFC 195 - Lawler vs. Condit,1/2/2016,UFC 195: Lawler vs Condit,1/2/2016,UFC 195
Saturday,2015-12-19,False,False,UFC on Fox: dos Anjos vs. Cerrone 2,12/19/2015,UFC on Fox: dos Anjos vs. Cerrone 2,12/19/2015,UFC Fight Night - dos Anjos vs Cowboy 2,12/19/2015,,12/19/2015,UFC on FOX: Dos Anjos vs. Cowboy 2,12/19/2015,UFC on FOX 17
Saturday,2015-12-12,False,False,UFC 194: Aldo vs. McGregor,12/12/2015,UFC 194: Aldo vs. McGregor,12/12/2015,UFC 194 - Aldo vs McGregor,12/12/2015,UFC 194 - Aldo vs. McGregor,12/12/2015,UFC 194: Aldo vs McGregor,12/12/2015,
Friday,2015-12-11,False,False,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,12/11/2015,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,12/11/2015,The Ultimate Fighter Finale - Team McGregor vs Team Faber,12/11/2015,,12/11/2015,The Ultimate Fighter 22 Finale,12/11/2015,TUF 22 Finale
Thursday,2015-12-10,False,False,UFC Fight Night: Namajunas vs. VanZant,12/10/2015,UFC Fight Night: Namajunas vs. VanZant,12/10/2015,UFC Fight Night - Namajunas vs VanZant,12/10/2015,UFC Fight Night 80 - Namajunas vs. VanZant,12/10/2015,UFC Fight Night: Namajunas vs. VanZant,12/10/2015,
