WL,Fighter,Str,Td,Sub,Pass,Weightclass,Method,Round,Time,Fight,Fight_Number,Opponent,Date,Event
win,Brad Pickett,49,4,1,4,Flyweight,U-DEC,3,5:00,Brad Pickett vs. Neil Seery,2,Neil Seery,2014-03-08,UFC Fight Night: Gustafsson vs Manuwa
loss,Neil Seery,47,0,0,0,Flyweight,U-DEC,3,5:00,Brad Pickett vs. Neil Seery,2,Brad Pickett,2014-03-08,UFC Fight Night: Gustafsson vs Manuwa
win,Gunnar Nelson,16,1,1,3,Welterweight,SUB  Guillotine Choke,1,4:36,Gunnar Nelson vs. Omari Akhmedov,3,Omari Akhmedov,2014-03-08,UFC Fight Night: Gustafsson vs Manuwa
loss,Omari Akhmedov,6,0,0,0,Welterweight,SUB  Guillotine Choke,1,4:36,Gunnar Nelson vs. Omari Akhmedov,3,Gunnar Nelson,2014-03-08,UFC Fight Night: Gustafsson vs Manuwa
win,Ilir Latifi,0,1,2,1,Light Heavyweight,SUB  Guillotine Choke,1,3:02,Ilir Latifi vs. Cyrille Diabate,4,Cyrille Diabate,2014-03-08,UFC Fight Night: Gustafsson vs Manuwa
loss,Cyrille Diabate,0,0,0,0,Light Heavyweight,SUB  Guillotine Choke,1,3:02,Ilir Latifi vs. Cyrille Diabate,4,Ilir Latifi,2014-03-08,UFC Fight Night: Gustafsson vs Manuwa
win,Luke Barnatt,45,0,0,0,Middleweight,KO/TKO  Kick,1,4:24,Luke Barnatt vs. Mats Nilsson,5,Mats Nilsson,2014-03-08,UFC Fight Night: Gustafsson vs Manuwa
loss,Mats Nilsson,25,0,0,0,Middleweight,KO/TKO  Kick,1,4:24,Luke Barnatt vs. Mats Nilsson,5,Luke Barnatt,2014-03-08,UFC Fight Night: Gustafsson vs Manuwa
win,Claudio Silva,36,3,0,5,Middleweight,U-DEC,3,5:00,Claudio Silva vs. Bradley Scott,6,Bradley Scott,2014-03-08,UFC Fight Night: Gustafsson vs Manuwa
loss,Bradley Scott,41,0,0,0,Middleweight,U-DEC,3,5:00,Claudio Silva vs. Bradley Scott,6,Claudio Silva,2014-03-08,UFC Fight Night: Gustafsson vs Manuwa
win,Igor Araujo,12,0,1,4,Welterweight,U-DEC,3,5:00,Igor Araujo vs. Danny Mitchell,7,Danny Mitchell,2014-03-08,UFC Fight Night: Gustafsson vs Manuwa
loss,Danny Mitchell,18,0,5,1,Welterweight,U-DEC,3,5:00,Igor Araujo vs. Danny Mitchell,7,Igor Araujo,2014-03-08,UFC Fight Night: Gustafsson vs Manuwa
nc  nc,Phil Harris,3,0,0,0,Flyweight,Overturned,1,1:13,Phil Harris vs. Louis Gaudinot,8,Louis Gaudinot,2014-03-08,UFC Fight Night: Gustafsson vs Manuwa
nc  nc,Louis Gaudinot,2,0,1,0,Flyweight,Overturned,1,1:13,Phil Harris vs. Louis Gaudinot,8,Phil Harris,2014-03-08,UFC Fight Night: Gustafsson vs Manuwa
win,Dong Hyun Kim,27,1,0,1,Welterweight,KO/TKO  Elbow,3,1:02,Dong Hyun Kim vs. John Hathaway,0,John Hathaway,2014-03-01,UFC Fight Night: Kim vs Hathaway
loss,John Hathaway,27,1,0,0,Welterweight,KO/TKO  Elbow,3,1:02,Dong Hyun Kim vs. John Hathaway,0,Dong Hyun Kim,2014-03-01,UFC Fight Night: Kim vs Hathaway
win,Zhang Lipeng,10,4,2,4,Welterweight,S-DEC,3,5:00,Zhang Lipeng vs. Sai Wang,1,Sai Wang,2014-03-01,UFC Fight Night: Kim vs Hathaway
loss,Sai Wang,31,0,0,2,Welterweight,S-DEC,3,5:00,Zhang Lipeng vs. Sai Wang,1,Zhang Lipeng,2014-03-01,UFC Fight Night: Kim vs Hathaway
win,Matt Mitrione,24,0,0,0,Heavyweight,KO/TKO  Punch,1,4:59,Matt Mitrione vs. Shawn Jordan,2,Shawn Jordan,2014-03-01,UFC Fight Night: Kim vs Hathaway
loss,Shawn Jordan,15,0,0,0,Heavyweight,KO/TKO  Punch,1,4:59,Matt Mitrione vs. Shawn Jordan,2,Matt Mitrione,2014-03-01,UFC Fight Night: Kim vs Hathaway
win,Hatsu Hioki,29,4,2,9,Featherweight,U-DEC,3,5:00,Hatsu Hioki vs. Ivan Menjivar,3,Ivan Menjivar,2014-03-01,UFC Fight Night: Kim vs Hathaway
loss,Ivan Menjivar,27,0,1,0,Featherweight,U-DEC,3,5:00,Hatsu Hioki vs. Ivan Menjivar,3,Hatsu Hioki,2014-03-01,UFC Fight Night: Kim vs Hathaway
win,Yui Chul Nam,77,1,0,3,Lightweight,S-DEC,3,5:00,Yui Chul Nam vs. Kazuki Tokudome,4,Kazuki Tokudome,2014-03-01,UFC Fight Night: Kim vs Hathaway
loss,Kazuki Tokudome,31,3,0,2,Lightweight,S-DEC,3,5:00,Yui Chul Nam vs. Kazuki Tokudome,4,Yui Chul Nam,2014-03-01,UFC Fight Night: Kim vs Hathaway
win,Vaughan Lee,142,0,0,0,Bantamweight,U-DEC,3,5:00,Vaughan Lee vs. Nam Phan,5,Nam Phan,2014-03-01,UFC Fight Night: Kim vs Hathaway
loss,Nam Phan,24,0,0,0,Bantamweight,U-DEC,3,5:00,Vaughan Lee vs. Nam Phan,5,Vaughan Lee,2014-03-01,UFC Fight Night: Kim vs Hathaway
win,An Ying Wang,13,0,0,0,Welterweight,KO/TKO,1,5:00,An Ying Wang vs. Albert Cheng,6,Albert Cheng,2014-03-01,UFC Fight Night: Kim vs Hathaway
loss,Albert Cheng,5,0,0,0,Welterweight,KO/TKO,1,5:00,An Ying Wang vs. Albert Cheng,6,An Ying Wang,2014-03-01,UFC Fight Night: Kim vs Hathaway
win,Mark Eddiva,49,4,0,0,Featherweight,U-DEC,3,5:00,Mark Eddiva vs. Jumabieke Tuerxun,7,Jumabieke Tuerxun,2014-03-01,UFC Fight Night: Kim vs Hathaway
loss,Jumabieke Tuerxun,12,1,2,0,Featherweight,U-DEC,3,5:00,Mark Eddiva vs. Jumabieke Tuerxun,7,Mark Eddiva,2014-03-01,UFC Fight Night: Kim vs Hathaway
win,Ronda Rousey,14,0,0,0,Women's Bantamweight,KO/TKO  Knee,1,1:06,Ronda Rousey vs. Sara McMann,0,Sara McMann,2014-02-22,UFC 170: Rousey vs McMann
loss,Sara McMann,13,0,0,0,Women's Bantamweight,KO/TKO  Knee,1,1:06,Ronda Rousey vs. Sara McMann,0,Ronda Rousey,2014-02-22,UFC 170: Rousey vs McMann
win,Daniel Cormier,18,0,0,0,Light Heavyweight,KO/TKO  Punch,1,1:19,Daniel Cormier vs. Patrick Cummins,1,Patrick Cummins,2014-02-22,UFC 170: Rousey vs McMann
loss,Patrick Cummins,8,0,0,0,Light Heavyweight,KO/TKO  Punch,1,1:19,Daniel Cormier vs. Patrick Cummins,1,Daniel Cormier,2014-02-22,UFC 170: Rousey vs McMann
win,Rory MacDonald,75,0,0,0,Welterweight,U-DEC,3,5:00,Rory MacDonald vs. Demian Maia,2,Demian Maia,2014-02-22,UFC 170: Rousey vs McMann
loss,Demian Maia,51,2,0,1,Welterweight,U-DEC,3,5:00,Rory MacDonald vs. Demian Maia,2,Rory MacDonald,2014-02-22,UFC 170: Rousey vs McMann
win,Mike Pyle,56,4,1,5,Welterweight,KO/TKO  Elbows,3,4:03,Mike Pyle vs. TJ Waldburger,3,TJ Waldburger,2014-02-22,UFC 170: Rousey vs McMann
loss,TJ Waldburger,38,0,1,0,Welterweight,KO/TKO  Elbows,3,4:03,Mike Pyle vs. TJ Waldburger,3,Mike Pyle,2014-02-22,UFC 170: Rousey vs McMann
win,Stephen Thompson,38,0,0,0,Welterweight,KO/TKO  Punches,1,3:43,Stephen Thompson vs. Robert Whittaker,4,Robert Whittaker,2014-02-22,UFC 170: Rousey vs McMann
loss,Robert Whittaker,19,0,0,0,Welterweight,KO/TKO  Punches,1,3:43,Stephen Thompson vs. Robert Whittaker,4,Stephen Thompson,2014-02-22,UFC 170: Rousey vs McMann
win,Alexis Davis,53,2,0,2,Women's Bantamweight,S-DEC,3,5:00,Alexis Davis vs. Jessica Eye,5,Jessica Eye,2014-02-22,UFC 170: Rousey vs McMann
loss,Jessica Eye,47,0,0,0,Women's Bantamweight,S-DEC,3,5:00,Alexis Davis vs. Jessica Eye,5,Alexis Davis,2014-02-22,UFC 170: Rousey vs McMann
win,Raphael Assuncao,100,3,0,1,Bantamweight,U-DEC,3,5:00,Raphael Assuncao vs. Pedro Munhoz,6,Pedro Munhoz,2014-02-22,UFC 170: Rousey vs McMann
loss,Pedro Munhoz,33,0,1,0,Bantamweight,U-DEC,3,5:00,Raphael Assuncao vs. Pedro Munhoz,6,Raphael Assuncao,2014-02-22,UFC 170: Rousey vs McMann
win,Aljamain Sterling,46,3,3,2,Bantamweight,U-DEC,3,5:00,Aljamain Sterling vs. Cody Gibson,7,Cody Gibson,2014-02-22,UFC 170: Rousey vs McMann
loss,Cody Gibson,18,4,1,0,Bantamweight,U-DEC,3,5:00,Aljamain Sterling vs. Cody Gibson,7,Aljamain Sterling,2014-02-22,UFC 170: Rousey vs McMann
loss,Joshua Sampo,19,0,0,1,Flyweight,U-DEC,3,5:00,Zach Makovsky vs. Joshua Sampo,8,Zach Makovsky,2014-02-22,UFC 170: Rousey vs McMann
win,Zach Makovsky,34,5,0,3,Flyweight,U-DEC,3,5:00,Zach Makovsky vs. Joshua Sampo,8,Joshua Sampo,2014-02-22,UFC 170: Rousey vs McMann
loss,Rafaello Oliveira,1,0,0,0,Lightweight,KO/TKO  Punches,1,1:24,Erik Koch vs. Rafaello Oliveira,9,Erik Koch,2014-02-22,UFC 170: Rousey vs McMann
win,Erik Koch,19,0,0,0,Lightweight,KO/TKO  Punches,1,1:24,Erik Koch vs. Rafaello Oliveira,9,Rafaello Oliveira,2014-02-22,UFC 170: Rousey vs McMann
win,Ernest Chavez,28,2,0,5,Lightweight,S-DEC,3,5:00,Ernest Chavez vs. Yosdenis Cedeno,10,Yosdenis Cedeno,2014-02-22,UFC 170: Rousey vs McMann
loss,Yosdenis Cedeno,26,0,0,0,Lightweight,S-DEC,3,5:00,Ernest Chavez vs. Yosdenis Cedeno,10,Ernest Chavez,2014-02-22,UFC 170: Rousey vs McMann
win,Lyoto Machida,28,1,0,2,Middleweight,U-DEC,5,5:00,Lyoto Machida vs. Gegard Mousasi,0,Gegard Mousasi,2014-02-15,UFC Fight Night: Machida vs Mousasi
loss,Gegard Mousasi,36,0,0,0,Middleweight,U-DEC,5,5:00,Lyoto Machida vs. Gegard Mousasi,0,Lyoto Machida,2014-02-15,UFC Fight Night: Machida vs Mousasi
win,Jacare Souza,16,2,3,3,Middleweight,U-DEC,3,5:00,Jacare Souza vs. Francis Carmont,1,Francis Carmont,2014-02-15,UFC Fight Night: Machida vs Mousasi
loss,Francis Carmont,19,0,0,0,Middleweight,U-DEC,3,5:00,Jacare Souza vs. Francis Carmont,1,Jacare Souza,2014-02-15,UFC Fight Night: Machida vs Mousasi
win,Erick Silva,18,0,0,0,Welterweight,KO/TKO  Punches,1,0:52,Erick Silva vs. Takenori Sato,2,Takenori Sato,2014-02-15,UFC Fight Night: Machida vs Mousasi
loss,Takenori Sato,0,0,0,0,Welterweight,KO/TKO  Punches,1,0:52,Erick Silva vs. Takenori Sato,2,Erick Silva,2014-02-15,UFC Fight Night: Machida vs Mousasi
win,Nico Musoke,45,2,0,1,Welterweight,U-DEC,3,5:00,Nico Musoke vs. Viscardi Andrade,3,Viscardi Andrade,2014-02-15,UFC Fight Night: Machida vs Mousasi
loss,Viscardi Andrade,24,1,0,1,Welterweight,U-DEC,3,5:00,Nico Musoke vs. Viscardi Andrade,3,Nico Musoke,2014-02-15,UFC Fight Night: Machida vs Mousasi
win,Charles Oliveira,23,3,2,3,Featherweight,SUB  Triangle Choke,3,2:40,Charles Oliveira vs. Andy Ogle,4,Andy Ogle,2014-02-15,UFC Fight Night: Machida vs Mousasi
loss,Andy Ogle,21,1,0,0,Featherweight,SUB  Triangle Choke,3,2:40,Charles Oliveira vs. Andy Ogle,4,Charles Oliveira,2014-02-15,UFC Fight Night: Machida vs Mousasi
loss,Cristiano Marcello,26,1,1,1,Lightweight,U-DEC,3,5:00,Joe Proctor vs. Cristiano Marcello,5,Joe Proctor,2014-02-15,UFC Fight Night: Machida vs Mousasi
win,Joe Proctor,67,0,1,0,Lightweight,U-DEC,3,5:00,Joe Proctor vs. Cristiano Marcello,5,Cristiano Marcello,2014-02-15,UFC Fight Night: Machida vs Mousasi
loss,Ivan Jorge,63,0,1,0,Lightweight,U-DEC,3,5:00,Rodrigo Damm vs. Ivan Jorge,6,Rodrigo Damm,2014-02-15,UFC Fight Night: Machida vs Mousasi
win,Rodrigo Damm,68,1,1,0,Lightweight,U-DEC,3,5:00,Rodrigo Damm vs. Ivan Jorge,6,Ivan Jorge,2014-02-15,UFC Fight Night: Machida vs Mousasi
loss,Jesse Ronson,53,0,0,0,Lightweight,S-DEC,3,5:00,Francisco Trinaldo vs. Jesse Ronson,7,Francisco Trinaldo,2014-02-15,UFC Fight Night: Machida vs Mousasi
win,Francisco Trinaldo,55,1,0,0,Lightweight,S-DEC,3,5:00,Francisco Trinaldo vs. Jesse Ronson,7,Jesse Ronson,2014-02-15,UFC Fight Night: Machida vs Mousasi
loss,Wilson Reis,23,3,0,2,Bantamweight,S-DEC,3,5:00,Iuri Alcantara vs. Wilson Reis,8,Iuri Alcantara,2014-02-15,UFC Fight Night: Machida vs Mousasi
win,Iuri Alcantara,42,2,0,4,Bantamweight,S-DEC,3,5:00,Iuri Alcantara vs. Wilson Reis,8,Wilson Reis,2014-02-15,UFC Fight Night: Machida vs Mousasi
loss,Maximo Blanco,44,3,0,1,Featherweight,U-DEC,3,5:00,Felipe Arantes vs. Maximo Blanco,9,Felipe Arantes,2014-02-15,UFC Fight Night: Machida vs Mousasi
win,Felipe Arantes,39,1,1,0,Featherweight,U-DEC,3,5:00,Felipe Arantes vs. Maximo Blanco,9,Maximo Blanco,2014-02-15,UFC Fight Night: Machida vs Mousasi
loss,Albert Tumenov,32,1,0,0,Welterweight,S-DEC,3,5:00,Ildemar Alcantara vs. Albert Tumenov,10,Ildemar Alcantara,2014-02-15,UFC Fight Night: Machida vs Mousasi
win,Ildemar Alcantara,50,4,0,6,Welterweight,S-DEC,3,5:00,Ildemar Alcantara vs. Albert Tumenov,10,Albert Tumenov,2014-02-15,UFC Fight Night: Machida vs Mousasi
win,Zubaira Tukhugov,35,3,0,0,Featherweight,U-DEC,3,5:00,Zubaira Tukhugov vs. Douglas Silva de Andrade,11,Douglas Silva de Andrade,2014-02-15,UFC Fight Night: Machida vs Mousasi
loss,Douglas Silva de Andrade,27,0,0,0,Featherweight,U-DEC,3,5:00,Zubaira Tukhugov vs. Douglas Silva de Andrade,11,Zubaira Tukhugov,2014-02-15,UFC Fight Night: Machida vs Mousasi
win,Renan Barao,17,0,0,0,Bantamweight,KO/TKO  Punch,1,3:42,Renan Barao vs. Urijah Faber,0,Urijah Faber,2014-02-01,UFC 169: Barao vs Faber 2
loss,Urijah Faber,8,0,0,0,Bantamweight,KO/TKO  Punch,1,3:42,Renan Barao vs. Urijah Faber,0,Renan Barao,2014-02-01,UFC 169: Barao vs Faber 2
win,Jose Aldo,62,2,2,4,Featherweight,U-DEC,5,5:00,Jose Aldo vs. Ricardo Lamas,1,Ricardo Lamas,2014-02-01,UFC 169: Barao vs Faber 2
loss,Ricardo Lamas,41,1,0,0,Featherweight,U-DEC,5,5:00,Jose Aldo vs. Ricardo Lamas,1,Jose Aldo,2014-02-01,UFC 169: Barao vs Faber 2
win,Alistair Overeem,62,0,0,1,Heavyweight,U-DEC,3,5:00,Alistair Overeem vs. Frank Mir,2,Frank Mir,2014-02-01,UFC 169: Barao vs Faber 2
loss,Frank Mir,3,1,1,1,Heavyweight,U-DEC,3,5:00,Alistair Overeem vs. Frank Mir,2,Alistair Overeem,2014-02-01,UFC 169: Barao vs Faber 2
win,Ali Bagautinov,49,6,1,3,Flyweight,U-DEC,3,5:00,Ali Bagautinov vs. John Lineker,3,John Lineker,2014-02-01,UFC 169: Barao vs Faber 2
loss,John Lineker,27,0,2,0,Flyweight,U-DEC,3,5:00,Ali Bagautinov vs. John Lineker,3,Ali Bagautinov,2014-02-01,UFC 169: Barao vs Faber 2
win,Abel Trujillo,18,0,0,0,Lightweight,KO/TKO  Punch,2,2:32,Abel Trujillo vs. Jamie Varner,4,Jamie Varner,2014-02-01,UFC 169: Barao vs Faber 2
loss,Jamie Varner,36,0,1,1,Lightweight,KO/TKO  Punch,2,2:32,Abel Trujillo vs. Jamie Varner,4,Abel Trujillo,2014-02-01,UFC 169: Barao vs Faber 2
loss,John Makdessi,61,0,0,0,Lightweight,U-DEC,3,5:00,Alan Patrick vs. John Makdessi,5,Alan Patrick,2014-02-01,UFC 169: Barao vs Faber 2
win,Alan Patrick,40,2,0,0,Lightweight,U-DEC,3,5:00,Alan Patrick vs. John Makdessi,5,John Makdessi,2014-02-01,UFC 169: Barao vs Faber 2
loss,Danny Martinez,33,5,0,0,Flyweight,U-DEC,3,5:00,Chris Cariaso vs. Danny Martinez,6,Chris Cariaso,2014-02-01,UFC 169: Barao vs Faber 2
win,Chris Cariaso,73,0,0,0,Flyweight,U-DEC,3,5:00,Chris Cariaso vs. Danny Martinez,6,Danny Martinez,2014-02-01,UFC 169: Barao vs Faber 2
loss,Tom Watson,50,0,0,0,Middleweight,S-DEC,3,5:00,Nick Catone vs. Tom Watson,7,Nick Catone,2014-02-01,UFC 169: Barao vs Faber 2
win,Nick Catone,31,5,0,3,Middleweight,S-DEC,3,5:00,Nick Catone vs. Tom Watson,7,Tom Watson,2014-02-01,UFC 169: Barao vs Faber 2
loss,Kevin Lee,39,1,2,1,Lightweight,U-DEC,3,5:00,Al Iaquinta vs. Kevin Lee,8,Al Iaquinta,2014-02-01,UFC 169: Barao vs Faber 2
win,Al Iaquinta,49,0,1,0,Lightweight,U-DEC,3,5:00,Al Iaquinta vs. Kevin Lee,8,Kevin Lee,2014-02-01,UFC 169: Barao vs Faber 2
loss,Andy Enz,69,0,0,0,Middleweight,U-DEC,3,5:00,Clint Hester vs. Andy Enz,9,Clint Hester,2014-02-01,UFC 169: Barao vs Faber 2
win,Clint Hester,72,2,0,2,Middleweight,U-DEC,3,5:00,Clint Hester vs. Andy Enz,9,Andy Enz,2014-02-01,UFC 169: Barao vs Faber 2
loss,Tony Martin,18,1,1,3,Lightweight,U-DEC,3,5:00,Rashid Magomedov vs. Tony Martin,10,Rashid Magomedov,2014-02-01,UFC 169: Barao vs Faber 2
win,Rashid Magomedov,46,0,1,2,Lightweight,U-DEC,3,5:00,Rashid Magomedov vs. Tony Martin,10,Tony Martin,2014-02-01,UFC 169: Barao vs Faber 2
win,Neil Magny,71,1,0,2,Welterweight,U-DEC,3,5:00,Neil Magny vs. Gasan Umalatov,11,Gasan Umalatov,2014-02-01,UFC 169: Barao vs Faber 2
loss,Gasan Umalatov,34,2,0,1,Welterweight,U-DEC,3,5:00,Neil Magny vs. Gasan Umalatov,11,Neil Magny,2014-02-01,UFC 169: Barao vs Faber 2
win,Benson Henderson,46,4,1,1,Lightweight,S-DEC,5,5:00,Benson Henderson vs. Josh Thomson,0,Josh Thomson,2014-01-25,UFC on Fox: Henderson vs Thomson
loss,Josh Thomson,19,4,0,4,Lightweight,S-DEC,5,5:00,Benson Henderson vs. Josh Thomson,0,Benson Henderson,2014-01-25,UFC on Fox: Henderson vs Thomson
win,Stipe Miocic,63,1,0,0,Heavyweight,U-DEC,3,5:00,Stipe Miocic vs. Gabriel Gonzaga,1,Gabriel Gonzaga,2014-01-25,UFC on Fox: Henderson vs Thomson
loss,Gabriel Gonzaga,29,1,0,0,Heavyweight,U-DEC,3,5:00,Stipe Miocic vs. Gabriel Gonzaga,1,Stipe Miocic,2014-01-25,UFC on Fox: Henderson vs Thomson
win,Donald Cerrone,16,1,0,0,Lightweight,KO/TKO  Kick,1,4:40,Donald Cerrone vs. Adriano Martins,2,Adriano Martins,2014-01-25,UFC on Fox: Henderson vs Thomson
loss,Adriano Martins,13,0,0,0,Lightweight,KO/TKO  Kick,1,4:40,Donald Cerrone vs. Adriano Martins,2,Donald Cerrone,2014-01-25,UFC on Fox: Henderson vs Thomson
win,Jeremy Stephens,40,1,0,0,Featherweight,U-DEC,3,5:00,Jeremy Stephens vs. Darren Elkins,3,Darren Elkins,2014-01-25,UFC on Fox: Henderson vs Thomson
loss,Darren Elkins,21,0,4,1,Featherweight,U-DEC,3,5:00,Jeremy Stephens vs. Darren Elkins,3,Jeremy Stephens,2014-01-25,UFC on Fox: Henderson vs Thomson
win,Alex Caceres,53,1,1,1,Bantamweight,SUB  Rear Naked Choke,3,4:39,Alex Caceres vs. Sergio Pettis,4,Sergio Pettis,2014-01-25,UFC on Fox: Henderson vs Thomson
loss,Sergio Pettis,49,1,0,0,Bantamweight,SUB  Rear Naked Choke,3,4:39,Alex Caceres vs. Sergio Pettis,4,Alex Caceres,2014-01-25,UFC on Fox: Henderson vs Thomson
win,Eddie Wineland,54,0,0,3,Bantamweight,KO/TKO  Punches,2,4:16,Eddie Wineland vs. Yves Jabouin,5,Yves Jabouin,2014-01-25,UFC on Fox: Henderson vs Thomson
loss,Yves Jabouin,33,0,0,0,Bantamweight,KO/TKO  Punches,2,4:16,Eddie Wineland vs. Yves Jabouin,5,Eddie Wineland,2014-01-25,UFC on Fox: Henderson vs Thomson
nc  nc,Chico Camus,12,2,1,11,Bantamweight,Overturned,3,5:00,Chico Camus vs. Yaotzin Meza,6,Yaotzin Meza,2014-01-25,UFC on Fox: Henderson vs Thomson
nc  nc,Yaotzin Meza,12,1,0,1,Bantamweight,Overturned,3,5:00,Chico Camus vs. Yaotzin Meza,6,Chico Camus,2014-01-25,UFC on Fox: Henderson vs Thomson
win,Hugo Viana,79,0,0,0,Bantamweight,U-DEC,3,5:00,Hugo Viana vs. Junior Hernandez,7,Junior Hernandez,2014-01-25,UFC on Fox: Henderson vs Thomson
loss,Junior Hernandez,40,0,0,0,Bantamweight,U-DEC,3,5:00,Hugo Viana vs. Junior Hernandez,7,Hugo Viana,2014-01-25,UFC on Fox: Henderson vs Thomson
loss,Mike Rio,10,0,1,0,Lightweight,KO/TKO  Kick,2,4:56,Daron Cruickshank vs. Mike Rio,8,Daron Cruickshank,2014-01-25,UFC on Fox: Henderson vs Thomson
win,Daron Cruickshank,46,1,1,1,Lightweight,KO/TKO  Kick,2,4:56,Daron Cruickshank vs. Mike Rio,8,Mike Rio,2014-01-25,UFC on Fox: Henderson vs Thomson
loss,Mike Rhodes,51,2,1,0,Welterweight,U-DEC,3,5:00,George Sullivan vs. Mike Rhodes,9,George Sullivan,2014-01-25,UFC on Fox: Henderson vs Thomson
win,George Sullivan,61,2,0,2,Welterweight,U-DEC,3,5:00,George Sullivan vs. Mike Rhodes,9,Mike Rhodes,2014-01-25,UFC on Fox: Henderson vs Thomson
win,Nikita Krylov,11,0,0,0,Heavyweight,KO/TKO  Kick,1,0:25,Nikita Krylov vs. Walt Harris,10,Walt Harris,2014-01-25,UFC on Fox: Henderson vs Thomson
loss,Walt Harris,1,0,0,0,Heavyweight,KO/TKO  Kick,1,0:25,Nikita Krylov vs. Walt Harris,10,Nikita Krylov,2014-01-25,UFC on Fox: Henderson vs Thomson
win,Luke Rockhold,12,0,0,0,Middleweight,KO/TKO  Kick,1,2:31,Luke Rockhold vs. Costas Philippou,0,Costas Philippou,2014-01-15,UFC Fight Night: Rockhold vs Philippou
loss,Costas Philippou,4,0,0,0,Middleweight,KO/TKO  Kick,1,2:31,Luke Rockhold vs. Costas Philippou,0,Luke Rockhold,2014-01-15,UFC Fight Night: Rockhold vs Philippou
win,Brad Tavares,45,2,0,1,Middleweight,U-DEC,3,5:00,Brad Tavares vs. Lorenz Larkin,1,Lorenz Larkin,2014-01-15,UFC Fight Night: Rockhold vs Philippou
loss,Lorenz Larkin,39,0,0,0,Middleweight,U-DEC,3,5:00,Brad Tavares vs. Lorenz Larkin,1,Brad Tavares,2014-01-15,UFC Fight Night: Rockhold vs Philippou
win,TJ Dillashaw,117,2,0,3,Bantamweight,U-DEC,3,5:00,TJ Dillashaw vs. Mike Easton,2,Mike Easton,2014-01-15,UFC Fight Night: Rockhold vs Philippou
loss,Mike Easton,46,0,0,0,Bantamweight,U-DEC,3,5:00,TJ Dillashaw vs. Mike Easton,2,TJ Dillashaw,2014-01-15,UFC Fight Night: Rockhold vs Philippou
win,Yoel Romero,60,0,0,0,Middleweight,KO/TKO  Elbows,3,3:23,Yoel Romero vs. Derek Brunson,3,Derek Brunson,2014-01-15,UFC Fight Night: Rockhold vs Philippou
loss,Derek Brunson,38,3,0,2,Middleweight,KO/TKO  Elbows,3,3:23,Yoel Romero vs. Derek Brunson,3,Yoel Romero,2014-01-15,UFC Fight Night: Rockhold vs Philippou
win,John Moraga,43,0,1,1,Flyweight,S-DEC,3,5:00,John Moraga vs. Dustin Ortiz,4,Dustin Ortiz,2014-01-15,UFC Fight Night: Rockhold vs Philippou
loss,Dustin Ortiz,35,2,0,6,Flyweight,S-DEC,3,5:00,John Moraga vs. Dustin Ortiz,4,John Moraga,2014-01-15,UFC Fight Night: Rockhold vs Philippou
loss,Sam Sicilia,14,0,0,0,Featherweight,SUB  Rear Naked Choke,2,1:54,Cole Miller vs. Sam Sicilia,5,Cole Miller,2014-01-15,UFC Fight Night: Rockhold vs Philippou
win,Cole Miller,38,0,1,3,Featherweight,SUB  Rear Naked Choke,2,1:54,Cole Miller vs. Sam Sicilia,5,Sam Sicilia,2014-01-15,UFC Fight Night: Rockhold vs Philippou
loss,Justin Edwards,25,0,1,0,Lightweight,U-DEC,3,5:00,Ramsey Nijem vs. Justin Edwards,6,Ramsey Nijem,2014-01-15,UFC Fight Night: Rockhold vs Philippou
win,Ramsey Nijem,46,5,1,3,Lightweight,U-DEC,3,5:00,Ramsey Nijem vs. Justin Edwards,6,Justin Edwards,2014-01-15,UFC Fight Night: Rockhold vs Philippou
loss,Isaac Vallie-Flagg,21,0,0,0,Lightweight,U-DEC,3,5:00,Elias Silverio vs. Isaac Vallie-Flagg,7,Elias Silverio,2014-01-15,UFC Fight Night: Rockhold vs Philippou
win,Elias Silverio,81,4,0,7,Lightweight,U-DEC,3,5:00,Elias Silverio vs. Isaac Vallie-Flagg,7,Isaac Vallie-Flagg,2014-01-15,UFC Fight Night: Rockhold vs Philippou
loss,Brian Houston,30,1,0,0,Middleweight,S-DEC,3,5:00,Trevor Smith vs. Brian Houston,8,Trevor Smith,2014-01-15,UFC Fight Night: Rockhold vs Philippou
win,Trevor Smith,57,1,1,4,Middleweight,S-DEC,3,5:00,Trevor Smith vs. Brian Houston,8,Brian Houston,2014-01-15,UFC Fight Night: Rockhold vs Philippou
loss,Alptekin Ozkilic,60,9,0,7,Flyweight,U-DEC,3,5:00,Louis Smolka vs. Alptekin Ozkilic,9,Louis Smolka,2014-01-15,UFC Fight Night: Rockhold vs Philippou
win,Louis Smolka,92,0,1,2,Flyweight,U-DEC,3,5:00,Louis Smolka vs. Alptekin Ozkilic,9,Alptekin Ozkilic,2014-01-15,UFC Fight Night: Rockhold vs Philippou
loss,Garett Whiteley,44,0,2,0,Lightweight,U-DEC,3,5:00,Vinc Pichel vs. Garett Whiteley,10,Vinc Pichel,2014-01-15,UFC Fight Night: Rockhold vs Philippou
win,Vinc Pichel,44,8,1,8,Lightweight,U-DEC,3,5:00,Vinc Pichel vs. Garett Whiteley,10,Garett Whiteley,2014-01-15,UFC Fight Night: Rockhold vs Philippou
win,Beneil Dariush,9,0,1,1,Lightweight,SUB  Rear Naked Choke,1,1:45,Beneil Dariush vs. Charlie Brenneman,11,Charlie Brenneman,2014-01-15,UFC Fight Night: Rockhold vs Philippou
